audit_batch,auditor,scenario_id,status,date_started,date_completed,overall_result,understanding,source_use,output_quality,conversation_handling,main_issue,evidence_link,short_note
A01,,S001,Not started,,,,,,,,,,
A01,,S002,Not started,,,,,,,,,,
A01,,S003,Not started,,,,,,,,,,
A01,,S004,Not started,,,,,,,,,,
A01,,S005,Not started,,,,,,,,,,
A01,,S006,Not started,,,,,,,,,,
A01,,S007,Not started,,,,,,,,,,
A01,,S008,Not started,,,,,,,,,,
A01,,S009,Not started,,,,,,,,,,
A01,,S010,Not started,,,,,,,,,,
A01,,S011,Not started,,,,,,,,,,
A01,,S012,Not started,,,,,,,,,,
A01,,S013,Not started,,,,,,,,,,
A01,,S014,Not started,,,,,,,,,,
A01,,S015,Not started,,,,,,,,,,
A01,,S016,Not started,,,,,,,,,,
A01,,S017,Not started,,,,,,,,,,
A01,,S018,Not started,,,,,,,,,,
A01,,S019,Not started,,,,,,,,,,
A01,,S020,Not started,,,,,,,,,,
A01,,S021,Not started,,,,,,,,,,
A01,,S022,Not started,,,,,,,,,,
A01,,S023,Not started,,,,,,,,,,
A01,,S024,Not started,,,,,,,,,,
A01,,S025,Not started,,,,,,,,,,
A01,,S026,Not started,,,,,,,,,,
A01,,S027,Not started,,,,,,,,,,
A01,,S028,Not started,,,,,,,,,,
A01,,S029,Not started,,,,,,,,,,
A01,,S030,Not started,,,,,,,,,,
A01,,S031,Not started,,,,,,,,,,
A01,,S032,Not started,,,,,,,,,,
A01,,S033,Not started,,,,,,,,,,
A01,,S034,Not started,,,,,,,,,,
A01,,S035,Not started,,,,,,,,,,
A01,,S036,Not started,,,,,,,,,,
A01,,S037,Not started,,,,,,,,,,
A01,,S038,Not started,,,,,,,,,,
A01,,S039,Not started,,,,,,,,,,
A01,,S040,Not started,,,,,,,,,,
